record_type,quantity,K,rho,t_eval,Kt_eval,interpolated_error,slope,intercept,R_squared,target_slope_min,target_slope_max,status
sample,R_ans,8.0,0.052969128007574154,1.25,10.0,0.0007783134726024588,,,,,,pass
sample,E_phi,8.0,0.052969128007574154,1.25,10.0,0.00020928119105284004,,,,,,pass
sample,R_ans,10.0,0.04237530240605932,1.0,10.0,0.0004979762366575731,,,,,,pass
sample,E_phi,10.0,0.04237530240605932,1.0,10.0,0.00013422057416012656,,,,,,pass
sample,R_ans,12.0,0.035312752005049436,0.8333333333333334,10.0,0.0003457549065717335,,,,,,pass
sample,E_phi,12.0,0.035312752005049436,0.8333333333333334,10.0,9.331540396066244e-05,,,,,,pass
sample,R_ans,16.0,0.026484564003787077,0.625,10.0,0.00019444671494899177,,,,,,pass
sample,E_phi,16.0,0.026484564003787077,0.625,10.0,5.255080418742342e-05,,,,,,pass
fit,R_ans,,,,,,2.000967764244413,-1.2794849513434605,0.999999994922736,1.8,2.2,pass
fit,E_phi,,,,,,1.9937463457533293,-2.6137483423417245,0.9999995621399064,1.8,2.2,pass
