frequency_mode,seed,K,sigma_omega,rho,Lambda_K,D_meas,D_meas_over_Lambda_K,relative_drift_error,t_f_num,fast_threshold_reached,locked_profile_residual,sphere_norm_error
gaussian,0,8.0,0.16,0.05441923899567052,0.0032019920016386934,0.0031999735236541683,0.999369618042927,0.0006303819570729896,0.12229016120066703,True,5.551115123125783e-16,5.093772070807745e-10
gaussian,0,8.0,0.2,0.06802404874458816,0.005004867054539227,0.0049991133005542875,0.998850368267081,0.001149631732919043,0.0,True,6.328271240363392e-15,5.238763867154717e-10
gaussian,0,8.0,0.24,0.08162885849350578,0.00721010189959035,0.0071965658836865365,0.9981226318168148,0.0018773681831851796,0.0,True,4.6074255521943996e-14,5.514553258478827e-10
gaussian,0,10.0,0.16,0.04353539119653642,0.002561019399806544,0.0025600558061370823,0.9996237460483374,0.00037625395166263065,0.12229016120066703,True,1.7867651802561113e-16,5.146769677111251e-10
gaussian,0,10.0,0.2,0.05441923899567053,0.004002490002048367,0.003999769278509836,0.9993202422649056,0.0006797577350944328,0.12229016120066703,True,6.661338147750939e-16,5.233089517275857e-10
gaussian,0,10.0,0.24,0.06530308679480462,0.005765166397818345,0.005758745421567229,0.998886246153529,0.001113753846471055,0.0,True,4.9960036108132044e-15,5.410119019444437e-10
gaussian,0,12.0,0.16,0.03627949266378035,0.0021339231051809918,0.0021333934846154137,0.9997518089736729,0.00024819102632711587,0.12229016120066703,True,1.1449174941446927e-16,5.221165721991383e-10
gaussian,0,12.0,0.2,0.04534936582972544,0.003334773701054973,0.003333294417371412,0.9995564065762265,0.00044359342377353617,0.12229016120066703,True,3.365363543395006e-16,5.283097292974048e-10
gaussian,0,12.0,0.24,0.05441923899567052,0.00480298800245804,0.004799505721720815,0.9992749761741143,0.0007250238258856845,0.12229016120066703,True,7.771561172376096e-16,5.457650997797714e-10
gaussian,1,8.0,0.16,0.05906218200063729,0.0032023725952940642,0.0031992739443123175,0.9990323889898695,0.0009676110101305424,0.12229016120066703,True,9.992007221626409e-16,5.090680099684164e-10
gaussian,1,8.0,0.2,0.07382772750079661,0.0050057978890223325,0.004996966192748854,0.9982357065807937,0.0017642934192062532,0.0,True,1.199040866595169e-14,5.255603729992231e-10
gaussian,1,8.0,0.24,0.08859327300095592,0.00721203627772285,0.007191264191536206,0.9971198028702648,0.002880197129735196,0.0,True,1.1102230246251565e-16,5.478993925223108e-10
gaussian,1,10.0,0.16,0.04724974560050983,0.0025612140428226847,0.002559734814200432,0.9994224502140312,0.0005775497859688006,0.12229016120066703,True,2.498001805406602e-16,5.167039018871833e-10
gaussian,1,10.0,0.2,0.05906218200063729,0.004002965744117584,0.003998789321422932,0.9989566678903535,0.0010433321096464665,0.12229016120066703,True,1.3322676295501878e-15,5.261999724837096e-10
gaussian,1,10.0,0.24,0.07087461840076473,0.005766154266963546,0.005756299072113402,0.9982908548065376,0.0017091451934624358,0.0,True,1.0103029524088925e-14,5.439283468078315e-10
gaussian,1,12.0,0.16,0.039374788000424855,0.002134035676480542,0.0021332227898056594,0.9996190847773345,0.00038091522266547884,0.12229016120066703,True,1.3877787807814457e-16,5.236935329833159e-10
gaussian,1,12.0,0.2,0.049218485000531075,0.0033350487497672346,0.003332777960563553,0.999319113639991,0.0006808863600089587,0.12229016120066703,True,2.220446049250313e-16,5.316653783893344e-10
gaussian,1,12.0,0.24,0.05906218200063728,0.004803558892941094,0.004798214982720298,0.9988875102106797,0.0011124897893203256,0.12229016120066703,True,1.5543122344752192e-15,5.434674932303096e-10
gaussian,2,8.0,0.16,0.04874005629204328,0.0032019251920028524,0.0032000959736877793,0.9994287129756679,0.0005712870243320678,0.12229016120066703,True,2.220446049250313e-16,5.094967781005266e-10
gaussian,2,8.0,0.2,0.0609250703650541,0.005004703508558892,0.004999488518720713,0.9989579822602357,0.0010420177397643116,0.0,True,2.55351295663786e-15,5.230048616411409e-10
gaussian,2,8.0,0.24,0.07311008443806492,0.007209761659229666,0.0071974901675690905,0.9982979337957911,0.0017020662042088741,0.0,True,1.9539925233402755e-14,5.493323573801945e-10
gaussian,2,10.0,0.16,0.038992045033634626,0.00256098525166298,0.0025601120251534074,0.99965902712286,0.0003409728771399667,0.12229016120066703,True,1.3183898417423734e-16,5.133055092088057e-10
gaussian,2,10.0,0.2,0.04874005629204328,0.004002406490003564,0.003999940760208629,0.9993839381879144,0.000616061812085622,0.12229016120066703,True,3.608224830031759e-16,5.279059411833487e-10
gaussian,2,10.0,0.24,0.05848806755045194,0.005764992864889826,0.0057591729166411145,0.9989904673977732,0.0010095326022268036,0.12229016120066703,True,1.887379141862766e-15,5.374825029491603e-10
gaussian,2,12.0,0.16,0.03249337086136219,0.0021339033618417444,0.002133423483226997,0.9997751169882719,0.000224883011728072,0.12229016120066703,True,8.673617379884035e-17,5.229060517919493e-10
gaussian,2,12.0,0.2,0.04061671357670273,0.0033347254423594123,0.0033333848478074024,0.9995979895271194,0.00040201047288057623,0.12229016120066703,True,2.7755575615628914e-16,5.292267735157452e-10
gaussian,2,12.0,0.24,0.04874005629204328,0.004802887788004279,0.004799731750012974,0.9993428874188593,0.0006571125811406509,0.12229016120066703,True,2.220446049250313e-16,5.459227514492682e-10
gaussian,3,8.0,0.16,0.05942965555232904,0.0032024093663868824,0.0031992065808413165,0.998999882532451,0.001000117467549022,0.12229016120066703,True,9.992007221626409e-16,5.102960276559543e-10
gaussian,3,8.0,0.2,0.0742870694404113,0.005005887749380034,0.004996759255261748,0.9981764484991865,0.0018235515008134806,0.0,True,1.2434497875801753e-14,5.225107013728802e-10
