frequency_mode,seed,K,sigma_omega,rho,max_delta,Lambda_K,eta,t_f_num,phi_bar_tf,T_eta_pred,T_eta_sim,relative_error,fast_threshold_reached,hitting_threshold_reached,locked_profile_residual,sphere_norm_error
gaussian,0,6.0,0.2,0.08820409028600525,0.5292245417160315,0.006678004007637843,0.82,0.0,0.85,9.030495089265214,9.048828751076384,0.002026081199623624,True,True,3.635980405647388e-15,5.628197907725507e-10
gaussian,0,6.0,0.24,0.1058449083432063,0.6350694500592378,0.009623547982150123,0.82,0.0,0.85,6.266470797352773,6.284841588310973,0.0029230316627817097,True,True,3.3584246494910985e-15,6.380186379217889e-10
gaussian,0,6.0,0.28,0.12348572640040734,0.740914358402444,0.013110377736992657,0.82,0.0,0.85,4.59984323921549,4.618228667215654,0.00398105622847997,True,True,1.1102230246251565e-16,8.117525540640713e-10
gaussian,0,6.0,0.32,0.14112654445760836,0.8467592667456502,0.017141405141687664,0.82,0.0,0.8499999999999999,3.518129458967407,3.5365089615409318,0.005197075074147869,True,True,4.440892098500626e-16,1.062597010381694e-09
gaussian,0,6.0,0.36,0.1587673625148094,0.9526041750888565,0.021720025994329616,0.82,0.0,0.8499999999999998,2.7765013915181487,2.7948502215818927,0.006565228405462997,True,True,3.552713678800501e-15,1.1026259905122515e-09
gaussian,0,7.5,0.2,0.0705632722288042,0.5292245417160315,0.005339130230852358,0.82,0.0,0.8499999999999999,11.295038665396879,11.309660116557927,0.0012928285209598395,True,True,9.325873406851315e-15,5.520158774530159e-10
gaussian,0,7.5,0.24,0.08467592667456504,0.6350694500592378,0.007692033127528996,0.82,0.0,0.85,7.840018548703218,7.854677259721785,0.0018662397618468963,True,True,6.727951529228449e-14,6.038006761244219e-10
gaussian,0,7.5,0.28,0.09878858112032587,0.740914358402444,0.010475654038623433,0.82,0.0,0.85,5.7567462780578325,5.771432192553953,0.0025445875488354147,True,True,2.220446049250313e-16,6.924135709240886e-10
gaussian,0,7.5,0.32,0.1129012355660867,0.8467592667456502,0.013691466493681059,0.82,0.0,0.8499999999999998,4.404618192280503,4.419320023185157,0.0033267178723250567,True,True,4.440892098500626e-16,8.676309670718751e-10
gaussian,0,7.5,0.36,0.12701389001184754,0.9526041750888565,0.01734118225501996,0.82,0.0,0.85,3.477599249590353,3.4923062994807594,0.004211271471976316,True,True,3.6637359812630166e-15,1.1813600098165011e-09
